ENDCHAPTER,NC_TOOLS,,,,,,,,,,,,,,
Keywords,MFG_NAME_BAS,MFG_NAME,MFG_COMMENT,MFG_TOOL_NUMBER,MFG_NB_OF_STAGES,MFG_BALL_TYPE,MFG_NOMINAL_DIAM,MFG_OVERALL_LGTH,MFG_LENGTH,MFG_BALL_LENGTH_DOWN,MFG_CYLINDER_LENGTH,MFG_BODY_DIAM,MFG_CORNER_RAD,MFG_STYLUS_TYPE,MFG_STYLUS_MATERIAL
Types,String,String,String,Integer,Integer,Boolean,mm,mm,mm,mm,mm,mm,mm,String,String
,MfgBallStylusTool,A-5000-7802,,1,,TRUE,1.5,4.5,1.413,0.75,,0.7,,Ruby ball styli,stainless steel stems
,MfgBallStylusTool,A-5000-4155,,2,,TRUE,5,10,4.665,2.5,,2.5,,Ruby ball styli,stainless steel stems
,MfgBallStylusTool,A-5000-4161,,3,,TRUE,4,20,3.854,2,,1.5,,Ruby ball styli,stainless steel stems
,MfgBallStylusTool,A-5000-7801,,4,,TRUE,0.7,4,0.595,0.35,,0.5,,Ruby ball styli,tungsten carbide stems
,MfgBallStylusTool,A-5003-0034,,5,,TRUE,1.5,12.5,1.309,0.75,,1,,Ruby ball styli,tungsten carbide stems
,MfgBallStylusTool,A-5003-0043,,6,,TRUE,4,30,3.732,2,,2,,Ruby ball styli,tungsten carbide stems
,MfgBallStylusTool,A-5003-4779,,7,,TRUE,5,30,4.665,2.5,,2.5,,Ruby ball styli,ceramic stems
,MfgBallStylusTool,A-5003-2287,,8,,TRUE,6,50,5.598,3,,3,,Ruby ball styli,carbon fibre stems
,MfgBallStylusTool,A-5003-2290,,9,,TRUE,5,100,4.5,2.5,,3,,Ruby ball styli,carbon fibre stems
,MfgBallStylusTool,A-5000-3611,,10,,FALSE,6,10,1.2,0.6,,2,,Disc styli,Ruby
,MfgBallStylusTool,A-5000-7809,,11,,FALSE,18,10,1.5,0.75,,3,,Disc styli,Silver steel
,MfgBallStylusTool,A-5000-7810,,12,,FALSE,25,10,1.5,0.75,,3,,Disc styli,Silver steel
,MfgCylinderStylusTool,M-5000-4153,,13, ,TRUE,3,13,3.8,,3.8,1.5,1.5,Cylinder styli,Silver steel
,MfgCylinderStylusTool,A-5000-8877,,14, ,TRUE,1.5,15,8,,8,1.5,0.75,Cylinder styli,Ruby,
,MfgCylinderStylusTool,A-5000-7812,,15, ,TRUE,2,20,7.2,,7.2,1.6,1,Cylinder styli,Ruby,
,MfgCylinderStylusTool,A-5003-0073,,16, ,TRUE,4,20,10,,10,2,2,Cylinder styli,Ruby,
,MfgBallStylusTool,A-5000-3614,,17, ,FALSE,18,20,11,9,,2,,Special purpose styli,Ceramic,
